id,date,text,label,Anna-Felicitas Hausmann,Long Gu,Fils Alain Bassong,Alexa Rohde,Lingfeng Yang,Frédéric Horbach,Doan Nam Long Vu,Amine Chouchane,Kea Busemann,Dominik Beese,Hannah Klohr,Amira Chebbi,Ecehan Yildiz,Johanna Wenzel,Agnes Kleinhans,Kristina Raysbikh,Jonas Rikowski,Alba Ciliberti,Dorian-Benedikt Arnouts,PARTH MODI,Vincent Andrae,Marius Kaufmann,Valentin Morari,Kristina Becker,Johannes Wehrstein,Alexander Peerdeman,Yuwei Fu,Peter Heldmann,Elias Wendt,Mari Akazawa,Marion Fischer,Tianxing LI,Katharina Becher,Celina Wieschnat,Zhiyang Tong,Nils Rollshausen,Fabian Bauer,Marc Blum,Marc Wendelborn,Victoria Stanilescu,JiZe Liu,Christian Richter,Per Philipp Herrmann,Felix Wagner,Maurice Roth,Stefan Braun,Lukas Leist,Katharina Kornmeier,Chengjing Huang,Ragini Menon,Dustin Glaser,Siyang Zhang,Marius Leon Hammann,Maximilian Ratzke,Dan Huang,Jihed Ouni,Sebastian Majer,Jakob Steeg,David Eckhardt,Simon Jungherz,Miron Abraha,Jens Grünwald,Jan Wameling,Sebastian Bartsch,Simon Althaus,Matthias Lang,Leon Camus,Sebastian Blanke,Hendrik Speh,YI ZHANG,Bilawal Aziz,Larissa Kranewitter-Call,Mattin Sayed,Ramy Hcini,Guoqiang Yao,Xin Chen,Chang You,Max Rink,Lennart Mischnaewski,Sebastian Wolf,Franziska Raßmann,Yiran Shu,Myra Zmarsly,Rami Al Hasan,Peiyi Zhang,Yu-Qin Lee,Nicolas Daniel Torres,Yiwen Zhang,Tobias Kopf,Ying Lin,Tobias Gockel,Paul Wagner,Yannik Benz,Patrick Korus,Zsofia Pilz,Caroline Katerina Iliadi,Adrian Möller,Mei Ling Fang,Nina Kretschmer,Tamara Allam,Sooyeong Kim,Julian Schwind,Najib Birouk,Ferdaous Ben Salha,Alexander Sinkovic,Marco Moebius,Yue LIU,Julian Häußler,Nan Yin,Marie-Helene Sibila,Katja Jungherz,Kathrin Ferring,Xu Lu,Ahlem Ghrouda,Dominik Iffland,Poma Panezai,Shiying Fan,Ashwin Arora,Rafik Bagirov,Hoa-Viet Nguyen,Dennis Weinberger,Arsal Ali,Manon Kerber,Patrizia Maria Maruca
1234927432236503040,2020-03-03 19:43:38+00:00,"Ignoring European and international asylum law, German Interior Minister Horst #Seehofer now letting potential refugees coming from Turkey know in Arabic:

""Europe’s borders are not open for #refugees from #Turkey, and neither are our German borders.""

#Asylum #Asylrecht #EU https://twitter.com/BMI_Bund/status/1234911949915381767",0,0,1,1,1,0,0,1,0,3,2,2,2,0,2,2,0,0,2,0,0,2,0,1,3,0,0,2,0,3,2,0,1,0,1,1,2,1,1,0,0,1,0,0,0,1,1,0,0,1,1,2,0,3,0,1,2,1,2,0,0,0,1,3,1,0,0,2,0,0,1,1,0,1,2,1,1,1,0,2,0,0,2,2,1,2,1,2,1,2,2,2,2,3,2,2,1,0,0,3,1,2,2,1,1,2,0,1,2,2,1,1,1,1,1,2,1,2,2,1,2,0,0,1,2
1243258922347180043,2020-03-26 19:30:00+00:00,#Refugees to the rescue? Germany taps #migrant medics to battle #COVID19 https://reut.rs/2xnFm7o Another great reason for states to respect laws protecting refugees &amp;  #asylumseekers rights via @P4HR https://bit.ly/39kQUFN,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
1236152894136688647,2020-03-07 04:53:11+00:00,An #AsylumSeeker Who Was #Kidnapped And #Tortured With #Acid Begged US Border Officers Not To Send Her Back. They Did Anyway.  #DemocraticResistanceTaskForce  https://flip.it/GPaHkL,0,0,1,1,2,2,0,2,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,0,3,3,0,0,0,0,3,0,0,0,0,0,2,0,0,3,0,0,2,0,0,0,3,0,0,3,1,0,0,0,0,1,2,0,0,0,0,2,3,0,3,3,0,0,2,3,2,0,0,0,0,0,2,2,0,0,2,3,0,2,2,0,0,0,0,0,2,0,0,2,3,3,2,0,0,0,0,0,0,2,0,1,0,0,0,0,3,2,0,0,3,0,3,0,0
1227334598666969088,2020-02-11 20:52:25+00:00,"@TheNastyLee @Nature_and_Race They had descendants of black slaves in USA.
No such thing in Europe, so they're invading us with third world ""refugees"".
This is a war.
#Remigration #WhiteGenocide",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1181608864501948417,2019-10-08 16:34:41+00:00,Look @Retasleeds @lassnleeds @PAFRAS_Leeds @refugeecouncil please promote to your networks! #RefugeesWelcome #refugeecrisis https://twitter.com/LeedsTrinity/status/1181552617459261442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,2,2,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1229770755258359809,2020-02-18 14:12:50+00:00,I cannot for the life of me read any more tweets about the #Eurobonds but it seems like the situation is simple. Its shit both ways. You’re dammed if you do and dammed if you dont. #لبنان#لبنان_ينتفض,3,2,2,2,2,1,3,2,2,2,2,2,2,2,2,2,1,2,3,2,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,3,3,1,2,3,3,2,2,2,2,3,2,2,2,2,2,2,2,1,2,1,3,2,2,2,1,1,3,2,3,2,2,3,3,3,3,2,3,2,3,3,2,2,2,2,2,3,3,2,2,2,2,2,2,3,2,2,1,3,3,2,3,2,1,3,1,3,1,2,2,2,2,3,2,2
1261996371030278145,2020-05-17 12:25:56+00:00,@MelisaHalpin @RBoydBarrett @rtetwip @pb4p Good for it seems to me to be discriminatory towards over 66’s . And #asylumseekers who are working.  #taxpayers. Whose going to take this up I wonder.,3,2,2,1,0,0,0,2,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,2,3,0,0,1,3,0,2,3,2,0,2,0,2,3,2,0,0,1,2,2,2,2,2,2,0,0,2,0,1,0,0,3,2,1,0,0,0,2,2,0,2,0,0,0,0,2,1,0,0,2,2,2,3,1,2,0,3,0,1,3,0,0,2,0,0,2,0,3,0,2,0,2,0,3,2,2,0,3,0,0,0,0,2,0,0,1,0,3,0,1,0,0,0,0,0,0,0,2,1,2,0
1195428275729977344,2019-11-15 19:48:05+00:00,#IslamicState #bomb #refugeecrisis Knowledge is power site:Brit #MPs deslike attack on Syria http://bit.ly/1dg9UTW,3,0,2,2,3,1,1,3,3,2,3,3,1,3,1,2,0,2,2,3,3,3,3,3,3,0,2,3,3,3,3,3,3,0,3,0,3,3,3,2,0,0,0,3,3,3,3,3,3,2,2,3,1,2,3,3,2,3,2,0,2,1,1,2,3,2,2,0,3,2,3,2,3,2,2,3,0,0,3,2,1,3,3,2,3,2,2,2,3,2,3,3,3,3,2,2,1,3,3,3,3,3,3,0,2,3,3,3,3,3,3,3,3,3,0,3,2,3,2,1,2,2,0,2,3
1204041960681541632,2019-12-09 14:15:48+00:00,"Then begin to think of every naira or dollar you invest today as a currency that’s buying your future freedom.
That's how successful entrepreneurs think!


Download the i-invest app today and get on the path to buying freedom.
#iinvest #treasurybills #eurobonds #investment


2/2",3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3
1261599670146605056,2020-05-16 10:09:35+00:00,4 #AsylumSeekers on #Lesbos diagnosed with #Coronavirus | The island hosts thousands of migrants in overcrowded camps https://www.aljazeera.com/news/2020/05/asylum-seekers-lesbos-diagnosed-coronavirus-200515160954523.html #RefugeeCrisis #HumanRights #COVID19,0,0,2,0,3,3,0,2,0,3,3,0,0,3,2,0,0,0,2,0,0,3,0,3,3,2,0,2,3,0,3,2,0,0,0,0,3,0,2,3,0,2,3,3,0,3,3,0,0,2,0,0,2,0,2,2,0,3,2,3,2,0,3,0,3,0,2,3,0,0,3,3,0,0,2,3,2,0,3,0,2,3,2,2,3,0,2,2,2,2,3,3,3,2,2,0,2,0,3,2,0,3,2,0,0,0,0,0,0,2,0,2,0,3,3,3,1,3,3,3,2,2,3,0,0
1197424909795954688,2019-11-21 08:02:00+00:00,"Thanks to @eu_echo support, our LIFT project family is growing!  👩‍👧‍👧👨‍👩‍👦‍👦👪👩‍👩‍👦 ...

Our newest local partner @InsanPs provides psychosocial and legal support to survivors of gender-based violence. 

#EUsolidarity, implemented by @giz_gmbh ♥️",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
